,site_reference_number,facility_id,hvac_system_id,heating_system_type,heating_system_type_other,primary_heat_fuel,aux_heat,electric_resistance_heat_type,total_hvac_heating_capacity_kbtu,facility_heating_capacity_fraction,facility_heating_capacity_rank,regional_heated_sqft_represented,total_hvac_cooling_capacity_kbtu,facility_cooling_capacity_fraction,facility_cooling_capacity_rank,regional_cooled_sqft_represented,cooling_system_type,cooling_system_type_other,hydronic_heating,hydronic_cooling,hydronic_heating_or_cooling,avg_hours_per_week,airflow_capacity,system_primary_heat,system_primary_cool,primary_ventilation_source,num_identical_units,system_age_years,type_manufacturer,type_model,zone_type,heat_pump_type,component_vent_other,fan_supply_vfd,fan_supply_hp,fan,total_return_exhaust_fan_hp,supply_control_method,ventilation_outside_air,ventilation_exhaust,controls_comm_types,heat_cool_vent,component_heat_exchange,boiler_fuel_type,chiller_type,primary_building_type_facility,detailed_econ,total_building_area,urban_rural,year_constructed,sample_weight_hvac,regional_site_sqft_represented,regional_site_conditioned_sqft_represented
2563,13251,8252,24834,Rooftop Unit AC (RTU-AC) w/heat,,NG,,,128.0,0.10729200000000001,4.0,61154.52322999999,96.0,0.16134400000000002,3.0,91963.19759,Rooftop Unit AC (RTU-AC) w/heat,,0,0,0,168.0,1600.0,Primary,Primary,0,2.0,7.0,Trane ,Ysc048E3 EMA e0001 a 00,Single Zone,,,0.0,1.0,"Condenser,Supply",0.0,None,Fixed-position louvers,Another system controls exhaust air,,"C,HT,V",,Not Applicable,Not Applicable,Residential Care,Residential Care - In-Patient Rehab,25100,Urban,2013,1.0,569982.135,569982.135
2564,13251,8252,24835,Rooftop Unit AC (RTU-AC) w/heat,,NG,,,103.0,0.086336,5.0,49209.97761,46.0,0.07731,4.0,44065.31886,Rooftop Unit AC (RTU-AC) w/heat,,0,0,0,168.0,725.0,Primary,Primary,0,2.0,7.0,Trane ,4ycc3024b1064,Single Zone,,,0.0,0.25,"Condenser,Supply",0.0,None,Fixed-position louvers,Another system controls exhaust air,,"C,HT,V",,Not Applicable,Not Applicable,Residential Care,Residential Care - In-Patient Rehab,25100,Urban,2013,1.0,569982.135,569982.135
2565,13251,8252,24836,Other,Split DX cooling,Electricity,,,24.0,0.020117,7.0,11466.330609999999,23.0,0.038655,6.0,22032.65943,Other,Split DX cooling,0,0,0,168.0,0.0,Primary,Primary,0,1.0,6.0,Trane ,4twr3024c1000aa,Single Zone,,,0.0,0.0,"Condenser,Supply",0.0,None,,,,"C,HT",,Not Applicable,Not Applicable,Residential Care,Residential Care - In-Patient Rehab,25100,Urban,2013,1.0,569982.135,569982.135
2566,13251,8252,24837,Other,Duct heating to temper ventilation air,Electricity,,,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,168.0,2000.0,Supplemental,,0,2.0,6.0,Renew Aire,HE2XIN,Multizone,,,0.0,1.5,"Exhaust,Supply",1.5,None,Fixed-position louvers,Fixed position open louvers,,"HE,HT,V",Plate heat exchanger,Not Applicable,Not Applicable,Residential Care,Residential Care - In-Patient Rehab,25100,Urban,2013,1.0,569982.135,569982.135
2567,20405,8253,24838,AHU with hydronic cooling and heating,,Hot Water from Boiler,Heat from another system (e.g. hot water coil),,0.0,0.1,3.0,814221.7890000001,0.0,0.1,3.0,814221.7890000001,AHU with hydronic cooling and heating,,1,1,1,168.0,0.0,Primary,Primary,0,1.0,0.0,,,Multizone,,,1.0,5.0,Supply,0.0,VAV w/ hydronic coil,,,,"C,HT,V",,Electricity,Compressor-Scroll,School,School - Middle School,100000,Urban,1980,1.0,8142217.89,8142217.89
2568,20405,8253,24839,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,Room AC (RAC),,0,0,0,168.0,0.0,,Primary,0,1.0,0.0,,,Single Zone,,,0.0,0.0,"Condenser,Supply",0.0,None,,,,C,,Not Applicable,Not Applicable,School,School - Middle School,100000,Urban,1980,1.0,8142217.89,8142217.89
2569,20405,8253,24840,AHU with hydronic cooling and heating,,Hot Water from Boiler,Heat from another system (e.g. hot water coil),,0.0,0.1,2.0,814221.7890000001,0.0,0.1,2.0,814221.7890000001,AHU with hydronic cooling and heating,,1,1,1,168.0,0.0,Primary,Primary,0,1.0,0.0,,,Multizone,,,1.0,10.0,Supply,0.0,VAV w/ hydronic coil,,,,"C,HT,V",,Electricity,Compressor-Scroll,School,School - Middle School,100000,Urban,1980,1.0,8142217.89,8142217.89
2570,20405,8253,24841,AHU with hydronic cooling and heating,,Hot Water from Boiler,Heat from another system (e.g. hot water coil),,0.0,0.1,6.0,814221.7890000001,0.0,0.1,6.0,814221.7890000001,AHU with hydronic cooling and heating,,1,1,1,168.0,0.0,Primary,Primary,0,1.0,0.0,,,Multizone,,,1.0,5.0,Supply,0.0,VAV w/ hydronic coil,,,,"C,HT,V",,Electricity,Compressor-Scroll,School,School - Middle School,100000,Urban,1980,1.0,8142217.89,8142217.89
2571,20405,8253,24842,AHU with hydronic cooling and heating,,Hot Water from Boiler,Heat from another system (e.g. hot water coil),,0.0,0.1,7.0,814221.7890000001,0.0,0.1,7.0,814221.7890000001,AHU with hydronic cooling and heating,,1,1,1,168.0,0.0,Primary,Primary,0,1.0,0.0,,,Multizone,,,1.0,3.0,Supply,0.0,VAV w/ hydronic coil,,,,"C,HT,V",,Electricity,Compressor-Scroll,School,School - Middle School,100000,Urban,1980,1.0,8142217.89,8142217.89
2572,20405,8253,24843,AHU with hydronic cooling and heating,,Hot Water from Boiler,Heat from another system (e.g. hot water coil),,0.0,0.2,1.0,1628443.5780000002,0.0,0.2,1.0,1628443.5780000002,AHU with hydronic cooling and heating,,1,1,1,168.0,0.0,Primary,Primary,0,2.0,0.0,,,Multizone,,,1.0,3.0,Supply,0.0,VAV w/ hydronic coil,,,,"C,HT,V",,Electricity,Compressor-Scroll,School,School - Middle School,100000,Urban,1980,1.0,8142217.89,8142217.89
2573,20405,8253,24844,AHU with hydronic cooling and heating,,Hot Water from Boiler,Heat from another system (e.g. hot water coil),,0.0,0.1,8.0,814221.7890000001,0.0,0.1,8.0,814221.7890000001,AHU with hydronic cooling and heating,,1,1,1,168.0,0.0,Primary,Primary,0,1.0,0.0,,,Multizone,,,1.0,7.5,Supply,0.0,VAV w/ hydronic coil,,,,"C,HT,V",,Electricity,Compressor-Scroll,School,School - Middle School,100000,Urban,1980,1.0,8142217.89,8142217.89
2574,20405,8253,24845,AHU with hydronic cooling and heating,,Hot Water from Boiler,Heat from another system (e.g. hot water coil),,0.0,0.1,4.0,814221.7890000001,0.0,0.1,4.0,814221.7890000001,AHU with hydronic cooling and heating,,1,1,1,168.0,0.0,Primary,Primary,0,1.0,0.0,,,,,,0.0,0.0,Supply,0.0,,,,,"C,HE,HT,V",,Electricity,Compressor-Scroll,School,School - Middle School,100000,Urban,1980,1.0,8142217.89,8142217.89
2575,20405,8253,24846,AHU with hydronic cooling and heating,,Hot Water from Boiler,Heat from another system (e.g. hot water coil),,0.0,0.1,9.0,814221.7890000001,0.0,0.1,9.0,814221.7890000001,AHU with hydronic cooling and heating,,1,1,1,168.0,0.0,Primary,Primary,0,1.0,0.0,,,Multizone,,,1.0,3.0,Supply,0.0,VAV w/ hydronic coil,,,,"C,HT,V",,Electricity,Compressor-Scroll,School,School - Middle School,100000,Urban,1980,1.0,8142217.89,8142217.89
